,Organism group,ID,Create date,Isolation type,Location,Isolation source,Laboratory typing platform,Testing standard
1354,escherichia_coli,ID_23866675,2022-06-22T17:55:25Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
144,escherichia_coli,ID_25828075,2022-10-24T23:29:46Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
1801,escherichia_coli,ID_23877205,2022-06-22T23:24:37Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
378,escherichia_coli,ID_32338315,2024-02-07T12:09:22Z,clinical,USA:Boston,sputum,Vitek,CLSI
2347,escherichia_coli,ID_23890165,2022-06-23T01:07:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1667,escherichia_coli,ID_23874525,2022-06-22T23:03:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1816,escherichia_coli,ID_23877505,2022-06-22T23:26:54Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
807,escherichia_coli,ID_32330735,2024-02-06T14:06:49Z,clinical,USA:Boston,urine,Vitek,CLSI
2653,escherichia_coli,ID_25580505,2022-10-17T16:12:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2992,escherichia_coli,ID_12707225,2016-04-12T18:10:24Z,clinical,USA:Boston,blood,Vitek,CLSI
1726,escherichia_coli,ID_23875705,2022-06-22T23:10:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2231,escherichia_coli,ID_23886005,2022-06-23T00:38:41Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2380,escherichia_coli,ID_23890955,2022-06-23T01:16:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2829,escherichia_coli,ID_25786425,2022-10-21T15:43:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
947,escherichia_coli,ID_23857085,2022-06-22T16:38:56Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1377,escherichia_coli,ID_23867135,2022-06-22T18:02:41Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
502,escherichia_coli,ID_3031775,2018-04-03T13:30:31Z,clinical,USA:Boston,blood,Vitek,CLSI
116,escherichia_coli,ID_25827315,2022-10-24T23:23:55Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
254,escherichia_coli,ID_25830755,2022-10-24T23:49:51Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2036,escherichia_coli,ID_23881925,2022-06-23T00:07:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2249,escherichia_coli,ID_23886365,2022-06-23T00:41:18Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
2503,escherichia_coli,ID_23895115,2022-06-23T03:16:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2447,escherichia_coli,ID_23892305,2022-06-23T01:25:50Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1052,escherichia_coli,ID_23859205,2022-06-22T16:53:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2499,escherichia_coli,ID_23894975,2022-06-23T03:07:51Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2741,escherichia_coli,ID_25784135,2022-10-21T14:58:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1438,escherichia_coli,ID_23868375,2022-06-22T18:13:24Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2852,escherichia_coli,ID_25786895,2022-10-21T15:55:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2104,escherichia_coli,ID_23883365,2022-06-23T00:17:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1478,escherichia_coli,ID_23869195,2022-06-22T18:21:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
736,escherichia_coli,ID_32336715,2024-02-05T03:52:26Z,clinical,USA:Boston,urine,Vitek,CLSI
1433,escherichia_coli,ID_23868275,2022-06-22T18:12:43Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
893,escherichia_coli,ID_36668695,2024-02-15T22:08:08Z,clinical,USA:Boston,Urinary tract infection,Vitek,CLSI
2678,escherichia_coli,ID_25581025,2022-10-17T16:51:31Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1178,escherichia_coli,ID_23861785,2022-06-22T17:11:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1448,escherichia_coli,ID_23868575,2022-06-22T18:14:44Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
127,escherichia_coli,ID_25827655,2022-10-24T23:26:38Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
2618,escherichia_coli,ID_25579265,2022-10-17T16:51:47Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1623,escherichia_coli,ID_23872105,2022-06-22T18:46:43Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1733,escherichia_coli,ID_23875845,2022-06-22T23:11:51Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2936,escherichia_coli,ID_25789175,2022-10-21T16:42:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
669,escherichia_coli,ID_15673965,2020-11-24T00:57:12Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1782,escherichia_coli,ID_23876825,2022-06-22T23:21:35Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2554,escherichia_coli,ID_24164905,2022-07-06T07:04:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2514,escherichia_coli,ID_23895335,2022-06-23T03:17:25Z,clinical,USA: District of Columbia,respiratory,Phoenix,CLSI
220,escherichia_coli,ID_25829835,2022-10-24T23:43:38Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2011,escherichia_coli,ID_23881425,2022-06-23T00:03:50Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2913,escherichia_coli,ID_25788695,2022-10-21T16:28:23Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
915,escherichia_coli,ID_2192275,2017-06-13T13:51:13Z,clinical,,,,CLSI
1868,escherichia_coli,ID_23878565,2022-06-22T23:36:41Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2799,escherichia_coli,ID_25785825,2022-10-21T15:28:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
490,escherichia_coli,ID_12442305,2017-07-07T10:42:22Z,clinical,USA:Boston,urine,Vitek,CLSI
1049,escherichia_coli,ID_23859145,2022-06-22T16:52:51Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2352,escherichia_coli,ID_23890265,2022-06-23T01:08:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1242,escherichia_coli,ID_23863085,2022-06-22T17:21:06Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2074,escherichia_coli,ID_23882755,2022-06-23T00:13:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2687,escherichia_coli,ID_25782995,2022-10-21T14:29:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
171,escherichia_coli,ID_25828675,2022-10-24T23:34:30Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
2719,escherichia_coli,ID_25783675,2022-10-21T14:47:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
584,escherichia_coli,ID_4566645,2019-07-12T10:50:51Z,clinical,"USA: Rochester, NY",sepsis,,CLSI
1783,escherichia_coli,ID_23876845,2022-06-22T23:21:38Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
32,escherichia_coli,ID_32329735,2024-02-16T20:26:19Z,clinical,USA:Boston,Great trochanter,Vitek,CLSI
3009,escherichia_coli,ID_2180135,2017-06-08T13:52:08Z,clinical,,,,CLSI
162,escherichia_coli,ID_25828495,2022-10-24T23:32:59Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
1026,escherichia_coli,ID_23858685,2022-06-22T16:49:40Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1237,escherichia_coli,ID_23862985,2022-06-22T17:20:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2766,escherichia_coli,ID_25785145,2022-10-21T15:11:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
684,escherichia_coli,ID_15674505,2020-11-24T01:06:14Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
2035,escherichia_coli,ID_23881905,2022-06-23T00:07:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2026,escherichia_coli,ID_23881725,2022-06-23T00:06:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
267,escherichia_coli,ID_25831005,2022-10-24T23:52:27Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2399,escherichia_coli,ID_23891345,2022-06-23T01:18:45Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
555,escherichia_coli,ID_4567265,2019-07-12T10:50:40Z,clinical,"USA: Rochester, NY",urine,,CLSI
1600,escherichia_coli,ID_23871645,2022-06-22T18:41:47Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
751,escherichia_coli,ID_32335115,2024-02-06T22:13:27Z,clinical,USA:Boston,urine,Vitek,CLSI
2111,escherichia_coli,ID_23883495,2022-06-23T00:19:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2044,escherichia_coli,ID_23882085,2022-06-23T00:08:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
581,escherichia_coli,ID_4566985,2019-07-12T10:50:49Z,clinical,"USA: Rochester, NY",urine,,CLSI
364,escherichia_coli,ID_25833575,2022-10-25T00:10:25Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
478,escherichia_coli,ID_12482455,2017-04-06T23:10:30Z,clinical,USA:Boston,urine,Vitek,CLSI
2430,escherichia_coli,ID_23891975,2022-06-23T01:23:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1794,escherichia_coli,ID_23877065,2022-06-22T23:24:04Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1074,escherichia_coli,ID_23859645,2022-06-22T16:56:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2902,escherichia_coli,ID_25788475,2022-10-21T16:21:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
743,escherichia_coli,ID_32336275,2024-02-04T23:04:14Z,clinical,USA:Boston,urine,Vitek,CLSI
1550,escherichia_coli,ID_23870645,2022-06-22T18:33:45Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1081,escherichia_coli,ID_23859785,2022-06-22T16:57:14Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2047,escherichia_coli,ID_23882135,2022-06-23T00:08:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
7,escherichia_coli,ID_633655,2014-04-18T15:15:46Z,clinical,OUTPATIENT,urine,,
1117,escherichia_coli,ID_23860545,2022-06-22T17:02:51Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
178,escherichia_coli,ID_25828815,2022-10-24T23:35:26Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
238,escherichia_coli,ID_25830395,2022-10-24T23:47:19Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2648,escherichia_coli,ID_25580385,2022-10-17T14:53:49Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
2058,escherichia_coli,ID_23882375,2022-06-23T00:10:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1341,escherichia_coli,ID_23866385,2022-06-22T17:52:23Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2193,escherichia_coli,ID_23885205,2022-06-23T00:33:35Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2323,escherichia_coli,ID_23889675,2022-06-23T01:04:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
50,escherichia_coli,ID_12741055,2016-01-13T19:22:11Z,clinical,USA:Boston,urine,Vitek,CLSI
2085,escherichia_coli,ID_23882985,2022-06-23T00:13:58Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1745,escherichia_coli,ID_23876075,2022-06-22T23:13:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
858,escherichia_coli,ID_31766855,2024-02-06T14:06:49Z,clinical,USA:Boston,urine,Vitek,CLSI
1142,escherichia_coli,ID_23861045,2022-06-22T17:06:00Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2762,escherichia_coli,ID_25784905,2022-10-21T15:09:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1636,escherichia_coli,ID_23872385,2022-06-22T18:48:06Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2296,escherichia_coli,ID_23887325,2022-06-23T00:48:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2898,escherichia_coli,ID_25788395,2022-10-21T16:19:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
58,escherichia_coli,ID_12586875,2016-09-20T15:19:53Z,clinical,USA:Boston,urine,Vitek,CLSI
272,escherichia_coli,ID_25831195,2022-10-24T23:53:18Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1644,escherichia_coli,ID_23872545,2022-06-22T18:50:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
776,escherichia_coli,ID_32332055,2024-02-07T02:09:44Z,clinical,USA:Boston,urine,Vitek,CLSI
1212,escherichia_coli,ID_23862485,2022-06-22T17:16:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
379,escherichia_coli,ID_32338255,2024-02-19T16:56:29Z,clinical,USA:Boston,Perineum,Vitek,CLSI
426,escherichia_coli,ID_32330235,2024-02-06T12:03:18Z,clinical,USA:Boston,Abdominal wound,Vitek,CLSI
2893,escherichia_coli,ID_25788295,2022-10-21T16:16:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
470,escherichia_coli,ID_12480115,2024-02-26T13:22:35Z,clinical,USA:Boston,urine,Vitek,CLSI
998,escherichia_coli,ID_23858125,2022-06-22T16:45:46Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
391,escherichia_coli,ID_32335855,2024-02-16T22:18:39Z,clinical,USA:Boston,IR drain,Vitek,CLSI
503,escherichia_coli,ID_4566475,2019-04-03T01:00:38Z,clinical,"USA: Rochester, NY",sepsis,,CLSI
2402,escherichia_coli,ID_23891405,2022-06-23T01:19:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1132,escherichia_coli,ID_23860845,2022-06-22T17:05:03Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1755,escherichia_coli,ID_23876285,2022-06-22T23:18:09Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
2834,escherichia_coli,ID_25786525,2022-10-21T15:45:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
608,escherichia_coli,ID_15671765,2020-11-24T00:19:12Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1697,escherichia_coli,ID_23875125,2022-06-22T23:06:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2641,escherichia_coli,ID_25580145,2022-10-17T17:11:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1162,escherichia_coli,ID_23861445,2022-06-22T17:09:14Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2040,escherichia_coli,ID_23882005,2022-06-23T00:07:44Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
468,escherichia_coli,ID_12902165,2016-10-01T15:22:31Z,clinical,USA:Boston,urine,Vitek,CLSI
1598,escherichia_coli,ID_23871595,2022-06-22T18:41:39Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
704,escherichia_coli,ID_15675925,2020-11-24T01:27:14Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
885,escherichia_coli,ID_33726555,2023-11-15T17:56:37Z,clinical,USA:Boston,urine,Vitek,CLSI
203,escherichia_coli,ID_25829355,2022-10-24T23:39:33Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
269,escherichia_coli,ID_25831065,2022-10-24T23:52:43Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2903,escherichia_coli,ID_25788495,2022-10-21T16:22:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2299,escherichia_coli,ID_23887385,2022-06-23T00:48:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1410,escherichia_coli,ID_23867795,2022-06-22T18:08:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1959,escherichia_coli,ID_23880385,2022-06-22T23:49:50Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
733,escherichia_coli,ID_32337015,2024-02-05T10:05:33Z,clinical,USA:Boston,urine,Vitek,CLSI
762,escherichia_coli,ID_32333535,2024-02-05T14:07:42Z,clinical,USA:Boston,urine,Vitek,CLSI
2188,escherichia_coli,ID_23885125,2022-06-23T00:32:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2814,escherichia_coli,ID_25786125,2022-10-21T15:35:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
216,escherichia_coli,ID_25829735,2022-10-24T23:43:13Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1335,escherichia_coli,ID_23866255,2022-06-22T17:51:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
823,escherichia_coli,ID_32330055,2024-02-04T19:02:30Z,clinical,USA:Boston,urine,Vitek,CLSI
2983,escherichia_coli,ID_12775495,2015-11-10T21:17:47Z,clinical,USA:Boston,blood,Vitek,CLSI
2328,escherichia_coli,ID_23889775,2022-06-23T01:04:49Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1311,escherichia_coli,ID_23865715,2022-06-22T17:47:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2250,escherichia_coli,ID_23886385,2022-06-23T00:41:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
729,escherichia_coli,ID_32337535,2024-02-07T12:09:23Z,clinical,USA:Boston,urine,Vitek,CLSI
1943,escherichia_coli,ID_23880045,2022-06-22T23:48:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1331,escherichia_coli,ID_23866175,2022-06-22T17:50:06Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2761,escherichia_coli,ID_25784845,2022-10-21T15:08:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
724,escherichia_coli,ID_32337855,2024-02-07T09:57:29Z,clinical,USA:Boston,urine,Vitek,CLSI
1273,escherichia_coli,ID_23863705,2022-06-22T17:24:53Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
653,escherichia_coli,ID_15673265,2020-11-24T00:46:10Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
484,escherichia_coli,ID_12479935,2017-04-14T14:50:30Z,clinical,USA:Boston,urine,Vitek,CLSI
647,escherichia_coli,ID_15672825,2020-11-24T00:38:24Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
969,escherichia_coli,ID_23857525,2022-06-22T16:41:50Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
645,escherichia_coli,ID_15672565,2020-11-24T00:34:12Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1144,escherichia_coli,ID_23861085,2022-06-22T17:06:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1127,escherichia_coli,ID_23860745,2022-06-22T17:04:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2619,escherichia_coli,ID_25579285,2022-10-17T17:09:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1653,escherichia_coli,ID_23872725,2022-06-22T18:51:04Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2933,escherichia_coli,ID_25789095,2022-10-21T16:40:13Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
225,escherichia_coli,ID_25829995,2022-10-24T23:45:23Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1822,escherichia_coli,ID_23877625,2022-06-22T23:27:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1748,escherichia_coli,ID_23876145,2022-06-22T23:17:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1938,escherichia_coli,ID_23879955,2022-06-22T23:46:40Z,clinical,USA: District of Columbia,Tissue,Phoenix,CLSI
250,escherichia_coli,ID_25830655,2022-10-24T23:49:11Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
434,escherichia_coli,ID_32329375,2024-02-18T10:17:42Z,clinical,USA:Boston,blood,Vitek,CLSI
504,escherichia_coli,ID_4566575,2019-04-03T01:01:12Z,clinical,"USA: Rochester, NY",urine,,CLSI
1274,escherichia_coli,ID_23863725,2022-06-22T17:24:56Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
577,escherichia_coli,ID_4566905,2019-07-12T10:50:48Z,clinical,"USA: Rochester, NY",urine,,CLSI
179,escherichia_coli,ID_25828835,2022-10-24T23:35:34Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
1054,escherichia_coli,ID_23859245,2022-06-22T16:53:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
40,escherichia_coli,ID_12767555,2016-01-02T12:22:35Z,clinical,USA:Boston,urine,Vitek,CLSI
2325,escherichia_coli,ID_23889725,2022-06-23T01:04:35Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
224,escherichia_coli,ID_25829975,2022-10-24T23:45:15Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
752,escherichia_coli,ID_32334975,2024-02-19T20:08:54Z,clinical,USA:Boston,urine,Vitek,CLSI
2060,escherichia_coli,ID_23882425,2022-06-23T00:10:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
835,escherichia_coli,ID_32329435,2024-02-05T10:05:34Z,clinical,USA:Boston,urine,Vitek,CLSI
2305,escherichia_coli,ID_23887505,2022-06-23T00:49:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1323,escherichia_coli,ID_23865995,2022-06-22T17:48:43Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
2329,escherichia_coli,ID_23889795,2022-06-23T01:04:51Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2798,escherichia_coli,ID_25785805,2022-10-21T15:27:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
133,escherichia_coli,ID_25827815,2022-10-24T23:27:26Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
666,escherichia_coli,ID_15673905,2020-11-24T00:55:50Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
2234,escherichia_coli,ID_23886065,2022-06-23T00:39:06Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2063,escherichia_coli,ID_23882505,2022-06-23T00:10:57Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2065,escherichia_coli,ID_23882545,2022-06-23T00:11:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2195,escherichia_coli,ID_23885265,2022-06-23T00:33:51Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2634,escherichia_coli,ID_25579805,2022-10-17T14:32:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2830,escherichia_coli,ID_25786445,2022-10-21T15:43:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1681,escherichia_coli,ID_23874805,2022-06-22T23:04:16Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
